Month,2YO_mean,2YO_median,2YO_min,2YO_max,2YO_mean_no_extremes,2YO_median_no_extremes,2YO_mean_no_outliers,2YO_median_no_outliers,3YO_mean,3YO_median,3YO_min,3YO_max,3YO_mean_no_extremes,3YO_median_no_extremes,3YO_mean_no_outliers,3YO_median_no_outliers,4YO_mean,4YO_median,4YO_min,4YO_max,4YO_mean_no_extremes,4YO_median_no_extremes,4YO_mean_no_outliers,4YO_median_no_outliers,5YO_mean,5YO_median,5YO_min,5YO_max,5YO_mean_no_extremes,5YO_median_no_extremes,5YO_mean_no_outliers,5YO_median_no_outliers
2015-11,,,,,,,,,73034.45023601103,73067.27810873659,71670.59862690023,74361.063960989,73043.75970704423,73067.27810873659,73034.45023601103,73067.27810873659,60922.95778093046,60701.25770194324,60562.240531351024,61630.955799776304,60807.197524508316,60701.25770194324,60922.95778093046,60701.25770194324,55004.861354551744,55084.75477656029,54020.34725578505,55965.15290036901,55012.935538868216,55084.75477656029,55004.861354551744,55084.75477656029
2015-12,,,,,,,,,71982.6949441461,71982.6949441461,71758.93822335225,72206.45166493996,,,71982.6949441461,71982.6949441461,63372.768946371805,63372.768946371805,63320.98366569303,63424.55422705058,,,63372.768946371805,63372.768946371805,53625.96680449807,53627.9975998188,53597.53567000776,53652.36714366764,53627.9975998188,53627.9975998188,53625.96680449807,53627.9975998188
2016-01,99976.05578930568,99753.53249374764,94182.30608390411,105686.92450189524,99983.59042501588,99753.53249374764,99976.05578930568,99753.53249374764,87354.02637477772,88192.91098404072,80338.02208525088,92395.06795454596,87485.69055542831,88192.91098404072,87354.02637477772,88192.91098404072,93811.34954947609,96311.84299141365,69772.82039967217,105996.38811888456,94658.02744807575,96311.84299141365,97231.4205667817,98008.96597562874,56991.56836655821,57133.08606855823,56279.40397057208,57429.64644023711,57046.38563101966,57133.08606855823,56991.56836655821,57133.08606855823
2016-02,109998.88611142851,110385.0304138457,106742.64280254398,112679.8621882166,110056.41283463818,110385.0304138457,109998.88611142851,110385.0304138457,77678.74233593962,77020.75043387899,75617.5991316048,82966.65466905134,77356.06542306193,77020.75043387899,77198.02303292946,76792.98970984021,99365.6845086232,108494.66473313345,66613.48310784102,112781.07506054464,100439.95177800435,108494.66473313345,99365.6845086232,108494.66473313345,54711.70342140048,54733.622209774774,52788.98901873747,56360.73794182573,54739.07140962426,54733.622209774774,54711.70342140048,54733.622209774774
2016-03,101054.03059003089,100980.7385707253,95378.78682463938,107227.24461313256,101018.46128590874,100980.7385707253,101054.03059003087,100980.7385707253,78092.99758475981,78139.76810494003,77152.7305952278,78786.69448719133,78123.81884564737,78139.76810494003,78092.99758475981,78139.76810494003,92807.92579210273,97985.92197344692,64926.6042933697,106169.70565025836,93662.01647684257,97985.92197344692,92807.92579210275,97985.92197344692,49537.979911938455,49629.55107296877,46121.276338856784,52547.6642513534,49574.98166045361,49629.55107296877,49537.979911938455,49629.55107296877
2016-04,93506.61950127975,93354.29156587824,92169.79656002393,95224.51465316994,93430.40505915286,93354.29156587824,93506.61950127975,93354.29156587824,78167.66759185102,77885.8911730805,76893.88232936792,80253.46493637483,78066.16608159592,77885.8911730805,78167.66759185102,77885.8911730805,81647.00046995234,92181.54448270486,63124.62137968031,95480.12879501889,82168.02833275295,92181.54448270486,81647.00046995234,92181.54448270486,46713.633106319496,46420.70500652576,44374.72866217929,49936.65301050575,46633.25897358803,46420.70500652576,46713.63310631948,46420.70500652576
2016-05,92924.15363917168,92555.79386573282,91877.00217936064,94754.83246966243,92728.27179650175,92555.79386573282,92924.15363917168,92555.79386573282,78861.53810356441,78733.18197846606,75858.15202024055,80949.30244734426,78963.27385240264,78733.18197846606,78861.53810356441,78733.18197846606,77382.542404997,77195.49342863083,61231.29528065541,94634.06711063464,77260.28934040858,77195.49342863083,77382.54240499702,77195.49342863083,48247.94568231679,48489.07004069566,44212.21509522507,50530.3578039224,48382.81633350803,48489.07004069566,48247.9456823168,48489.07004069566
2016-06,92708.61300703589,92834.90972103688,88887.0913080369,95331.6660358642,92841.77619261041,92834.90972103688,92708.61300703589,92834.90972103688,74768.73956275816,74579.15907058565,74074.38088594348,76159.63716180947,74681.67219747859,74579.15907058565,74614.19538508581,74483.89630826747,80333.19236944879,83871.65007144559,58776.61759115454,94986.63450680816,81023.50563354229,83871.65007144559,80333.19236944879,83871.65007144559,43357.79909365509,43382.02919564028,42517.65319223146,44544.80398343474,43314.4417201106,43382.02919564028,43357.7990936551,43382.02919564028
2016-07,88096.00265470428,87924.503961996,86719.53502437865,89734.4439729355,88052.34037338669,87924.503961996,88096.0026547043,87924.503961996,74288.08636279263,74246.84710901062,74074.38088594348,74559.22035289113,74310.41164330688,74249.06252208777,74288.08636279263,74246.84710901062,75170.74633913963,73990.67581856402,58727.87850345689,89487.98405655228,75474.4077846068,73990.67581856402,75170.74633913963,73990.67581856402,46341.53259981889,46383.30449249214,44775.22602630209,47770.44542378966,46356.79857199067,46383.30449249214,46341.5325998189,46383.30449249214
2016-08,89131.55607271612,89394.87697702971,87308.22213893982,90325.94777225536,89257.34451956353,89394.87697702971,89131.55607271612,89394.87697702971,71249.76869214042,71087.66677346654,68016.38234262147,73965.73580521901,71292.88696184377,71087.66677346654,71249.76869214041,71087.66677346654,75826.8798729452,87186.86997058729,55928.482539148856,90340.73536723832,76316.3836765364,87186.86997058729,75826.8798729452,87186.86997058729,47060.429229654415,47217.69725132093,45965.28440226711,47651.83561596597,47144.385636500374,47217.69725132093,47060.429229654415,47217.69725132093
