Date,4YO,5YO,Source_File,3YO,2YO,Quarter,Month,2YO_no_outliers,3YO_no_outliers,4YO_no_outliers,5YO_no_outliers
2016-01-01,70000.0,57000.0,01_2019.csv,,,2016Q1,2016-01,,,70000.0,57000.0
2016-01-01,70000.0,58000.0,09_2018.csv,,,2016Q1,2016-01,,,70000.0,58000.0
2016-01-01,69000.0,57000.0,12_2019.csv,,,2016Q1,2016-01,,,69000.0,57000.0
2016-01-01,70000.0,57000.0,12_2018.csv,,,2016Q1,2016-01,,,70000.0,57000.0
2016-01-01,70000.0,57000.0,11_2020.csv,,,2016Q1,2016-01,,,70000.0,57000.0
2016-01-01,70500.0,57000.0,11_2019.csv,,,2016Q1,2016-01,,,70500.0,57000.0
2016-01-01,70000.0,57000.0,11_2018.csv,,,2016Q1,2016-01,,,70000.0,57000.0
2016-01-01,67000.0,55000.0,10_2020.csv,,,2016Q1,2016-01,,,67000.0,55000.0
2016-01-01,70000.0,57000.0,10_2019.csv,,,2016Q1,2016-01,,,70000.0,57000.0
2016-01-01,70000.0,57000.0,09_2020.csv,,,2016Q1,2016-01,,,70000.0,57000.0
2016-01-01,68000.0,58000.0,09_2019.csv,93000.0,96000.0,2016Q1,2016-01,96000.0,93000.0,68000.0,58000.0
2016-01-01,70000.0,57000.0,05_2019.csv,,,2016Q1,2016-01,,,70000.0,57000.0
2016-01-01,70000.0,55000.0,08_2020.csv,,,2016Q1,2016-01,,,70000.0,55000.0
2016-01-01,70000.0,58000.0,08_2019.csv,,,2016Q1,2016-01,,,70000.0,58000.0
2016-01-01,62000.0,53000.0,08_2018.csv,,,2016Q1,2016-01,,,62000.0,53000.0
2016-01-01,70000.0,58000.0,01_2020.csv,,,2016Q1,2016-01,,,70000.0,58000.0
2016-01-01,72000.0,57000.0,05_2020.csv,,,2016Q1,2016-01,,,72000.0,57000.0
2016-01-01,70000.0,55000.0,06_2018.csv,,,2016Q1,2016-01,,,70000.0,55000.0
2016-01-01,70000.0,57000.0,07_2020.csv,,,2016Q1,2016-01,,,70000.0,57000.0
2016-01-01,69000.0,54000.0,06_2020.csv,,,2016Q1,2016-01,,,69000.0,54000.0
2016-01-01,,,07_2018.csv,,,2016Q1,2016-01,,,,
2016-01-01,70000.0,57000.0,06_2019.csv,,,2016Q1,2016-01,,,70000.0,57000.0
2016-01-01,70000.0,57000.0,07_2019.csv,,,2016Q1,2016-01,,,70000.0,57000.0
2016-02-01,68000.0,52000.0,09_2018.csv,,,2016Q1,2016-02,,,68000.0,52000.0
2016-02-01,68000.0,56000.0,12_2018.csv,,,2016Q1,2016-02,,,68000.0,56000.0
2016-02-01,68000.0,54000.0,03_2019.csv,,,2016Q1,2016-02,,,68000.0,54000.0
2016-02-01,68000.0,53000.0,02_2019.csv,,,2016Q1,2016-02,,,68000.0,53000.0
2016-02-01,68000.0,56000.0,01_2019.csv,,,2016Q1,2016-02,,,68000.0,56000.0
2016-02-01,70000.0,58000.0,03_2018.csv,,,2016Q1,2016-02,,,70000.0,58000.0
2016-02-01,68000.0,56000.0,11_2018.csv,,,2016Q1,2016-02,,,68000.0,56000.0
2016-02-01,66600.0,57400.0,02_2018.csv,,,2016Q1,2016-02,,,66600.0,57400.0
2016-03-01,65500.0,46700.0,02_2018.csv,,,2016Q1,2016-03,,,65500.0,46700.0
2016-03-01,66000.0,47000.0,11_2018.csv,,,2016Q1,2016-03,,,66000.0,47000.0
2016-03-01,67000.0,48000.0,12_2018.csv,,,2016Q1,2016-03,,,67000.0,48000.0
2016-03-01,67000.0,50000.0,05_2019.csv,,,2016Q1,2016-03,,,67000.0,50000.0
2016-03-01,65000.0,45000.0,11_2019.csv,,,2016Q1,2016-03,,,65000.0,45000.0
2016-03-01,65000.0,50000.0,02_2019.csv,,,2016Q1,2016-03,,,65000.0,50000.0
2016-03-01,66000.0,45000.0,12_2019.csv,,,2016Q1,2016-03,,,66000.0,45000.0
2016-03-01,67000.0,52000.0,11_2020.csv,,,2016Q1,2016-03,,,67000.0,52000.0
2016-03-01,67000.0,47000.0,05_2020.csv,,,2016Q1,2016-03,,,67000.0,47000.0
2016-03-01,69000.0,57000.0,06_2018.csv,,,2016Q1,2016-03,,,69000.0,57000.0
2016-03-01,67000.0,55000.0,07_2020.csv,,,2016Q1,2016-03,,,67000.0,55000.0
2016-03-01,67000.0,52000.0,10_2019.csv,,,2016Q1,2016-03,,,67000.0,52000.0
2016-03-01,65000.0,48000.0,10_2020.csv,,,2016Q1,2016-03,,,65000.0,48000.0
2016-03-01,67000.0,45000.0,07_2019.csv,,,2016Q1,2016-03,,,67000.0,45000.0
2016-03-01,66000.0,48000.0,08_2018.csv,,,2016Q1,2016-03,,,66000.0,48000.0
2016-03-01,66000.0,45000.0,03_2020.csv,,,2016Q1,2016-03,,,66000.0,45000.0
2016-03-01,67000.0,45000.0,04_2018.csv,,,2016Q1,2016-03,,,67000.0,45000.0
2016-03-01,67000.0,51000.0,03_2019.csv,,,2016Q1,2016-03,,,67000.0,51000.0
2016-03-01,67000.0,50000.0,08_2019.csv,,,2016Q1,2016-03,,,67000.0,50000.0
2016-03-01,67000.0,46000.0,03_2018.csv,,,2016Q1,2016-03,,,67000.0,46000.0
2016-03-01,65000.0,48000.0,08_2020.csv,,,2016Q1,2016-03,,,65000.0,48000.0
2016-03-01,67000.0,50000.0,04_2019.csv,,,2016Q1,2016-03,,,67000.0,50000.0
2016-03-01,66000.0,48000.0,09_2018.csv,,,2016Q1,2016-03,,,66000.0,48000.0
2016-03-01,65000.0,48000.0,06_2020.csv,,,2016Q1,2016-03,,,65000.0,48000.0
2016-03-01,65000.0,46000.0,09_2019.csv,76000.0,113000.0,2016Q1,2016-03,113000.0,76000.0,65000.0,46000.0
2016-03-01,67000.0,45000.0,04_2020.csv,,,2016Q1,2016-03,,,67000.0,45000.0
2016-03-01,66000.0,52000.0,09_2020.csv,,,2016Q1,2016-03,,,66000.0,52000.0
2016-03-01,66000.0,45000.0,06_2019.csv,,,2016Q1,2016-03,,,66000.0,45000.0
2016-03-01,68000.0,52000.0,02_2020.csv,,,2016Q1,2016-03,,,68000.0,52000.0
2016-03-01,70000.0,58000.0,05_2018.csv,,,2016Q1,2016-03,,,70000.0,58000.0
2016-03-01,,,07_2018.csv,,,2016Q1,2016-03,,,,
2016-03-01,67000.0,45000.0,01_2020.csv,,,2016Q1,2016-03,,,67000.0,45000.0
2016-03-01,67000.0,54000.0,01_2019.csv,,,2016Q1,2016-03,,,67000.0,54000.0
2016-04-01,65000.0,48000.0,03_2019.csv,,,2016Q2,2016-04,,,65000.0,48000.0
2016-04-01,64000.0,45000.0,12_2018.csv,,,2016Q2,2016-04,,,64000.0,45000.0
2016-04-01,65000.0,45000.0,11_2018.csv,,,2016Q2,2016-04,,,65000.0,45000.0
2016-04-01,65000.0,45000.0,09_2018.csv,,,2016Q2,2016-04,,,65000.0,45000.0
2016-04-01,66000.0,48000.0,03_2018.csv,,,2016Q2,2016-04,,,66000.0,48000.0
2016-04-01,64900.0,44900.0,02_2018.csv,,,2016Q2,2016-04,,,64900.0,44900.0
2016-04-01,63000.0,43000.0,02_2019.csv,,,2016Q2,2016-04,,,63000.0,43000.0
2016-04-01,65000.0,51000.0,01_2019.csv,,,2016Q2,2016-04,,,65000.0,51000.0
2016-05-01,62000.0,48000.0,11_2019.csv,,,2016Q2,2016-05,,,62000.0,48000.0
2016-05-01,64000.0,48000.0,07_2019.csv,,,2016Q2,2016-05,,,64000.0,48000.0
2016-05-01,63000.0,44000.0,12_2018.csv,,,2016Q2,2016-05,,,63000.0,44000.0
2016-05-01,63000.0,51000.0,09_2018.csv,,,2016Q2,2016-05,,,63000.0,51000.0
2016-05-01,64000.0,45000.0,10_2019.csv,,,2016Q2,2016-05,,,64000.0,45000.0
2016-05-01,63000.0,47000.0,05_2019.csv,,,2016Q2,2016-05,,,63000.0,47000.0
2016-05-01,62000.0,45000.0,02_2020.csv,,,2016Q2,2016-05,,,62000.0,45000.0
2016-05-01,60000.0,45000.0,10_2020.csv,,,2016Q2,2016-05,,,60000.0,45000.0
2016-05-01,62000.0,45000.0,08_2020.csv,,,2016Q2,2016-05,,,62000.0,45000.0
2016-05-01,65000.0,47000.0,08_2019.csv,,,2016Q2,2016-05,,,65000.0,47000.0
2016-05-01,63000.0,43000.0,06_2019.csv,,,2016Q2,2016-05,,,63000.0,43000.0
2016-05-01,64000.0,51500.0,02_2018.csv,,,2016Q2,2016-05,,,64000.0,51500.0
2016-05-01,63000.0,45000.0,03_2019.csv,,,2016Q2,2016-05,,,63000.0,45000.0
2016-05-01,66000.0,45000.0,05_2018.csv,,,2016Q2,2016-05,,,66000.0,45000.0
2016-05-01,65000.0,51000.0,05_2020.csv,,,2016Q2,2016-05,,,65000.0,51000.0
2016-05-01,63000.0,51000.0,11_2018.csv,,,2016Q2,2016-05,,,63000.0,51000.0
2016-05-01,65000.0,44000.0,09_2019.csv,80000.0,100000.0,2016Q2,2016-05,100000.0,80000.0,65000.0,44000.0
2016-05-01,64000.0,49000.0,04_2020.csv,,,2016Q2,2016-05,,,64000.0,49000.0
2016-05-01,64000.0,50000.0,07_2020.csv,,,2016Q2,2016-05,,,64000.0,50000.0
2016-05-01,63000.0,50000.0,01_2020.csv,,,2016Q2,2016-05,,,63000.0,50000.0
2016-05-01,64000.0,47000.0,01_2019.csv,,,2016Q2,2016-05,,,64000.0,47000.0
2016-05-01,63000.0,51000.0,03_2020.csv,,,2016Q2,2016-05,,,63000.0,51000.0
2016-05-01,65000.0,47000.0,03_2018.csv,,,2016Q2,2016-05,,,65000.0,47000.0
2016-05-01,62000.0,43000.0,02_2019.csv,,,2016Q2,2016-05,,,62000.0,43000.0
2016-05-01,64000.0,48000.0,11_2020.csv,,,2016Q2,2016-05,,,64000.0,48000.0
2016-05-01,67000.0,49000.0,06_2018.csv,,,2016Q2,2016-05,,,67000.0,49000.0
2016-05-01,63000.0,43000.0,06_2020.csv,,,2016Q2,2016-05,,,63000.0,43000.0
2016-05-01,64000.0,49000.0,04_2018.csv,,,2016Q2,2016-05,,,64000.0,49000.0
2016-05-01,63000.0,44000.0,09_2020.csv,,,2016Q2,2016-05,,,63000.0,44000.0
2016-05-01,66000.0,45000.0,08_2018.csv,,,2016Q2,2016-05,,,66000.0,45000.0
2016-05-01,63000.0,51000.0,12_2019.csv,,,2016Q2,2016-05,,,63000.0,51000.0
2016-05-01,64000.0,45000.0,04_2019.csv,,,2016Q2,2016-05,,,64000.0,45000.0
2016-05-01,,,07_2018.csv,,,2016Q2,2016-05,,,,
2016-06-01,60000.0,43000.0,11_2018.csv,,,2016Q2,2016-06,,,60000.0,43000.0
2016-06-01,63000.0,52000.0,03_2018.csv,,,2016Q2,2016-06,,,63000.0,52000.0
2016-06-01,61000.0,51000.0,12_2018.csv,,,2016Q2,2016-06,,,61000.0,51000.0
2016-06-01,62000.0,44000.0,09_2018.csv,,,2016Q2,2016-06,,,62000.0,44000.0
2016-06-01,63100.0,47000.0,02_2018.csv,,,2016Q2,2016-06,,,63100.0,47000.0
2016-06-01,62000.0,43000.0,01_2019.csv,,,2016Q2,2016-06,,,62000.0,43000.0
2016-06-01,61000.0,48000.0,02_2019.csv,,,2016Q2,2016-06,,,61000.0,48000.0
2016-06-01,61000.0,43000.0,03_2019.csv,,,2016Q2,2016-06,,,61000.0,43000.0
2016-07-01,60000.0,45000.0,09_2018.csv,,,2016Q3,2016-07,,,60000.0,45000.0
2016-07-01,61000.0,47000.0,09_2020.csv,,,2016Q3,2016-07,,,61000.0,47000.0
2016-07-01,61500.0,45500.0,02_2018.csv,,,2016Q3,2016-07,,,61500.0,45500.0
2016-07-01,65000.0,48000.0,05_2018.csv,,,2016Q3,2016-07,,,65000.0,48000.0
2016-07-01,60000.0,47000.0,12_2018.csv,,,2016Q3,2016-07,,,60000.0,47000.0
