Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,73000
Mar,67000,50000,78000
May,63000,45000,81000
Jul,61000,44000,79000
Sep,59000,43000,74000
Nov,55000,40000,67000
Jan-17,67000,41000,68000
Mar,63000,45000,79000
May,62000,45000,79000
Jul,59000,47000,74000
Sep,55000,42000,72000
Nov,52000,39000,66000
Jan-18,66000,40000,72000
Mar,66000,47000,91000
May,65000,50000,84000
Jul,64000,51000,80000
Sep,64000,52000,78000
Nov,62000,52000,73000
Jan-19,76000,53000,94000
Mar,70000,49000,86000
May,69000,57000,91000
