Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,73000
Mar,67000,50000,81000
May,64000,47000,77000
Jul,61000,50000,80000
Sep,59000,43000,78000
Nov,56000,41000,73000
Jan-17,68000,45000,79000
Mar,66000,48000,78000
May,63000,43000,75000
Jul,60000,45000,71000
Sep,57000,42000,71000
Nov,54000,39000,70000
Jan-18,67000,47000,92000
Mar,66000,48000,84000
May,64000,50000,79000
Jul,64000,48000,80000
Sep,62000,50000,78000
Nov,63000,52000,81000
Jan-19,78000,59000,95000
Mar,71000,58000,86000
May,73000,58000,94000
