Date,2YO,3YO,4YO,5YO
2015-07-03,,79291.34268571952,70930.37373249185,
2015-07-06,,,,61010.3447497593
2015-07-07,,,69556.54069801376,
2015-07-09,,79415.40581804086,,
2015-07-12,,,69295.73971432383,60769.89858378413
2015-07-15,,79561.62308113388,,
2015-07-18,,,69029.5493122827,60608.93462236208
2015-07-21,,79765.44108423323,,
2015-07-24,,,69047.27261690004,60409.69351660895
2015-07-27,,79991.41321810425,,
2015-07-30,,,69335.27631693172,60249.55079988805
2015-08-02,,80124.33800273426,,
2015-08-05,,,69339.07416792115,60054.59444909736
2015-08-08,,80057.87561041924,,
2015-08-10,,,69078.28839998037,
2015-08-11,,,,59698.7217452731
2015-08-14,,79542.8572291861,,
2015-08-16,,,,59281.73177274858
2015-08-19,,78789.55162374122,,
2015-08-22,,,,58733.997263384284
2015-08-24,,78237.4877265503,68887.20902207473,
2015-08-27,,77339.56376473553,,
2015-08-28,,,,58285.288202040654
2015-08-30,,,68905.48617996136,
2015-09-01,,76528.40609091,,57730.20414770607
2015-09-05,,,68444.68025991064,
2015-09-06,,75840.83681803216,,
2015-09-07,,,,57400.40298761851
2015-09-10,,75330.18410374521,,
2015-09-11,,,67772.77712236419,
2015-09-13,,,,57376.4765263851
2015-09-15,,75480.83219299254,,
2015-09-16,,,67382.86442078283,
2015-09-19,,,,57434.07726639144
2015-09-22,,75603.23376550601,67448.23668920272,
2015-09-24,,,,57592.110065896006
2015-09-27,,75974.86930920076,,
2015-09-28,,,65990.0025704098,
2015-09-30,,,,57839.86709502584
2015-10-03,,76527.8704965397,,
2015-10-04,,,65553.84312084256,
2015-10-06,,,,58014.51549260915
2015-10-09,,76810.08003929266,65061.61417266057,
2015-10-12,,,,57834.55578418699
2015-10-13,,,64324.79384687815,
2015-10-15,,76479.66700321235,,
2015-10-18,,,63790.09738478312,57383.47256768141
2015-10-21,,75976.15191677175,62937.16335007388,
2015-10-24,,,,56944.57647219839
2015-10-26,,75397.31111998335,62179.2705363751,
2015-10-30,,,,56440.939232655786
2015-10-31,,74951.34846754967,61198.80255552362,
2015-11-04,,,,55965.15290036901
2015-11-05,,74361.063960989,,
2015-11-06,,,60589.56395930274,
2015-11-10,,74043.94133482539,,55489.366568082216
2015-11-12,,,60562.240531351024,
2015-11-15,,73342.95857352654,,55084.75477656029
2015-11-18,,,60701.25770194324,
2015-11-20,,72791.59764394665,,54464.68527196215
2015-11-23,,71996.5412758784,61130.77091227897,
2015-11-25,,,,54020.34725578505
2015-11-28,,71670.59862690023,,
2015-11-30,,,61630.955799776304,
2015-12-01,,,,53597.53567000776
2015-12-05,,71758.93822335225,63424.55422705058,
2015-12-06,,,,53627.9975998188
2015-12-09,,72206.45166493996,,
2015-12-10,,,63320.98366569303,53652.36714366764
2016-01-07,,,69772.82039967217,57398.63065715677
2016-01-08,,92395.06795454596,,
2016-01-12,,91990.5335266553,,
2016-01-13,,90933.70764174414,69968.88445700143,57429.64644023711
2016-01-14,,92194.42201333588,,57255.95619195016
2016-01-15,94182.30608390411,89927.37045280698,93984.39877104838,
2016-01-17,,90665.95974231466,95295.1958363327,
2016-01-18,95068.89282025368,,93770.22510371132,
2016-01-19,,,83283.83404078995,57133.08606855823
